,Year,Month,Wheat_Price,WP_%_Change
0,1995,Jan,156.21,-5.11
1,1995,Feb,154.42,-1.15
2,1995,Mar,150.39,-2.61
3,1995,Apr,148.98,-0.94
4,1995,May,158.61,6.46
5,1995,Jun,169.98,7.17
6,1995,Jul,190.09,11.83
7,1995,Aug,184.39,-3.0
8,1995,Sep,193.67,5.03
9,1995,Oct,203.79,5.23
10,1995,Nov,204.07,0.14
11,1995,Dec,208.92,2.38
12,1996,Jan,206.88,-0.98
13,1996,Feb,218.89,5.81
14,1996,Mar,215.52,-1.54
15,1996,Apr,251.66,16.77
16,1996,May,262.11,4.15
17,1996,Jun,227.27,-13.29
18,1996,Jul,202.6,-10.85
19,1996,Aug,191.63,-5.41
20,1996,Sep,178.71,-6.74
21,1996,Oct,178.32,-0.22
22,1996,Nov,176.41,-1.07
23,1996,Dec,175.7,-0.4
24,1997,Jan,175.73,0.02
25,1997,Feb,172.35,-1.92
26,1997,Mar,176.61,2.47
27,1997,Apr,183.49,3.9
28,1997,May,172.59,-5.94
29,1997,Jun,148.39,-14.02
30,1997,Jul,138.31,-6.79
31,1997,Aug,150.61,8.89
32,1997,Sep,151.74,0.75
33,1997,Oct,151.66,-0.05
34,1997,Nov,149.88,-1.17
35,1997,Dec,144.62,-3.51
36,1998,Jan,137.1,-5.2
37,1998,Feb,140.05,2.15
38,1998,Mar,138.92,-0.81
39,1998,Apr,130.15,-6.31
40,1998,May,128.92,-0.95
41,1998,Jun,120.64,-6.42
42,1998,Jul,118.54,-1.74
43,1998,Aug,107.95,-8.93
44,1998,Sep,107.93,-0.02
45,1998,Oct,126.54,17.24
46,1998,Nov,130.21,2.9
47,1998,Dec,126.21,-3.07
48,1999,Jan,125.29,-0.73
49,1999,Feb,117.03,-6.59
50,1999,Mar,117.34,0.26
51,1999,Apr,113.87,-2.96
52,1999,May,113,-0.76
53,1999,Jun,111.41,-1.41
54,1999,Jul,103.02,-7.53
55,1999,Aug,111.41,8.14
56,1999,Sep,113.19,1.6
57,1999,Oct,108.1,-4.5
58,1999,Nov,108.8,0.65
59,1999,Dec,102.16,-6.1
60,2000,Jan,105.83,3.59
61,2000,Feb,108.41,2.44
62,2000,Mar,105.7,-2.5
63,2000,Apr,105.11,-0.56
64,2000,May,110.78,5.39
65,2000,Jun,113.51,2.46
66,2000,Jul,108.98,-3.99
67,2000,Aug,108.28,-0.64
68,2000,Sep,117.49,8.51
69,2000,Oct,128.22,9.13
70,2000,Nov,127.73,-0.38
71,2000,Dec,128.01,0.22
72,2001,Jan,132.84,3.77
73,2001,Feb,128.12,-3.55
74,2001,Mar,130.28,1.69
75,2001,Apr,129.3,-0.75
76,2001,May,135,4.41
77,2001,Jun,127.23,-5.76
78,2001,Jul,123.79,-2.7
79,2001,Aug,121.92,-1.51
80,2001,Sep,122.03,0.09
81,2001,Oct,123.34,1.07
82,2001,Nov,125.27,1.56
83,2001,Dec,122.53,-2.19
84,2002,Jan,125.31,2.27
85,2002,Feb,123.28,-1.62
86,2002,Mar,122.56,-0.58
87,2002,Apr,123.72,0.95
88,2002,May,121.46,-1.83
89,2002,Jun,132.03,8.7
90,2002,Jul,149.3,13.08
91,2002,Aug,161.26,8.01
92,2002,Sep,187.84,16.48
93,2002,Oct,190.32,1.32
94,2002,Nov,176.26,-7.39
95,2002,Dec,168.98,-4.13
96,2003,Jan,149.6,-11.47
97,2003,Feb,150.84,0.83
98,2003,Mar,141.81,-5.99
99,2003,Apr,138.62,-2.25
100,2003,May,141.96,2.41
101,2003,Jun,131.35,-7.47
102,2003,Jul,131.62,0.21
103,2003,Aug,148.72,12.99
104,2003,Sep,145.62,-2.08
105,2003,Oct,147.46,1.26
106,2003,Nov,160.55,8.88
107,2003,Dec,165.57,3.13
108,2004,Jan,166.33,0.46
109,2004,Feb,161.39,-2.97
110,2004,Mar,166.28,3.03
111,2004,Apr,166.58,0.18
112,2004,May,163.73,-1.71
113,2004,Jun,154.74,-5.49
114,2004,Jul,150.6,-2.68
115,2004,Aug,141.29,-6.18
116,2004,Sep,151.03,6.89
117,2004,Oct,150.15,-0.58
118,2004,Nov,156.57,4.28
119,2004,Dec,153.87,-1.72
120,2005,Jan,153.59,-0.18
121,2005,Feb,151.3,-1.49
122,2005,Mar,150.99,-0.2
123,2005,Apr,140.88,-6.7
124,2005,May,144.25,2.39
125,2005,Jun,141.93,-1.61
126,2005,Jul,143.87,1.37
127,2005,Aug,149.36,3.82
128,2005,Sep,159.71,6.93
129,2005,Oct,167.83,5.08
130,2005,Nov,161.12,-4.0
131,2005,Dec,164.44,2.06
132,2006,Jan,167.16,1.65
133,2006,Feb,179.84,7.59
134,2006,Mar,174.44,-3.0
135,2006,Apr,180.35,3.39
136,2006,May,193.17,7.11
137,2006,Jun,195.16,1.03
138,2006,Jul,202.43,3.73
139,2006,Aug,189.91,-6.18
140,2006,Sep,195.98,3.2
141,2006,Oct,212.09,8.22
142,2006,Nov,205.81,-2.96
143,2006,Dec,204.31,-0.73
144,2007,Jan,196.07,-4.03
145,2007,Feb,199.98,1.99
146,2007,Mar,199.1,-0.44
147,2007,Apr,198.31,-0.4
148,2007,May,195.72,-1.31
149,2007,Jun,223.04,13.96
150,2007,Jul,238.41,6.89
151,2007,Aug,259.73,8.94
152,2007,Sep,326.54,25.72
153,2007,Oct,335.15,2.64
154,2007,Nov,321.81,-3.98
155,2007,Dec,368.62,14.55
156,2008,Jan,369.59,0.26
157,2008,Feb,425,14.99
158,2008,Mar,439.72,3.46
159,2008,Apr,362.23,-17.62
160,2008,May,328.76,-9.24
161,2008,Jun,348.55,6.02
162,2008,Jul,328.18,-5.84
163,2008,Aug,329.34,0.35
164,2008,Sep,295.55,-10.26
165,2008,Oct,237.38,-19.68
166,2008,Nov,226.85,-4.44
167,2008,Dec,220.14,-2.96
168,2009,Jan,239.36,8.73
169,2009,Feb,224.69,-6.13
170,2009,Mar,230.98,2.8
171,2009,Apr,233.47,1.08
172,2009,May,256.7,9.95
173,2009,Jun,253.41,-1.28
174,2009,Jul,224.95,-11.23
175,2009,Aug,210.37,-6.48
176,2009,Sep,191.09,-9.16
177,2009,Oct,198.85,4.06
178,2009,Nov,211.04,6.13
179,2009,Dec,206.25,-2.27
180,2010,Jan,201.51,-2.3
181,2010,Feb,194.54,-3.46
182,2010,Mar,191.07,-1.78
183,2010,Apr,192.82,0.92
184,2010,May,181.88,-5.67
185,2010,Jun,157.67,-13.31
186,2010,Jul,195.82,24.2
187,2010,Aug,246.25,25.75
188,2010,Sep,271.69,10.33
189,2010,Oct,270.23,-0.54
190,2010,Nov,274.08,1.42
191,2010,Dec,306.53,11.84
